
  0     0    0     0    0     0      0      0 --:--:-- --:--:-- --:--:--     0
  0     0    0     0    0     0      0      0 --:--:-- --:--:-- --:--:--     0
  0  500M    0  382k    0     0   246k      0  0:34:39  0:00:01  0:34:38  246k
  0  500M    0 1102k    0     0   402k      0  0:21:11  0:00:02  0:21:09  402k
  0  500M    0 1918k    0     0   529k      0  0:16:06  0:00:03  0:16:03  529k
  0  500M    0 3230k    0     0   714k      0  0:11:56  0:00:04  0:11:52  714k
  0  500M    0 4670k    0     0   846k      0  0:10:04  0:00:05  0:09:59  935k
  1  500M    1 6238k    0     0   920k      0  0:09:16  0:00:06  0:09:10 1120k
  1  500M    1 7838k    0     0  1027k      0  0:08:18  0:00:07  0:08:11 1376k
  1  500M    1 9630k    0     0  1129k      0  0:07:33  0:00:08  0:07:25 1572k
  2  500M    2 12.2M    0     0  1317k      0  0:06:28  0:00:09  0:06:19 1862k
  2  500M    2 12.7M    0     0  1309k      0  0:06:30  0:00:10  0:06:20 1880k
