IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.17.66.185,4,4,0.00,157.44,8.82
104.16.40.203,4,4,0.00,158.51,8.75
104.23.125.172,4,4,0.00,159.57,7.90
104.19.62.181,4,4,0.00,158.13,7.66
172.67.19.243,4,4,0.00,159.54,7.12
104.19.239.223,4,4,0.00,159.58,5.10
104.20.27.227,4,4,0.00,159.29,4.00
104.17.33.196,4,4,0.00,158.48,2.30
104.24.204.94,4,4,0.00,157.23,2.22
104.25.60.63,4,4,0.00,158.50,2.08
172.67.51.154,4,4,0.00,158.68,1.97
172.67.16.64,4,4,0.00,153.24,1.76
104.19.237.37,4,4,0.00,159.15,1.13
104.25.83.81,4,4,0.00,158.44,1.06
104.27.85.30,4,4,0.00,158.50,1.00
104.17.107.228,4,4,0.00,157.27,0.97
104.17.62.152,4,4,0.00,158.62,0.96
172.65.206.80,4,4,0.00,157.90,0.00
172.65.208.241,4,4,0.00,157.69,0.00
104.17.97.36,4,4,0.00,157.21,0.00
