IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.17.253.58,4,4,0.00,150.38,17.78
104.18.80.160,4,4,0.00,150.80,16.44
198.41.208.130,4,4,0.00,148.90,15.60
104.16.43.9,4,4,0.00,151.07,15.30
104.19.115.166,4,4,0.00,150.01,13.47
104.19.105.220,4,4,0.00,151.16,11.32
104.18.128.198,4,4,0.00,144.55,8.36
104.18.140.145,4,4,0.00,149.44,6.53
172.64.174.89,4,4,0.00,148.90,5.86
104.16.187.44,4,4,0.00,150.22,5.38
104.17.47.43,4,4,0.00,151.61,4.39
104.17.95.226,4,4,0.00,150.03,3.60
104.17.201.240,4,4,0.00,151.29,2.41
104.20.155.5,4,4,0.00,150.31,2.22
104.18.99.145,4,4,0.00,151.68,2.17
104.17.212.138,4,4,0.00,150.32,1.42
104.17.97.230,4,4,0.00,150.42,0.97
172.65.240.234,4,4,0.00,147.59,0.00
104.16.215.2,4,4,0.00,151.50,0.00
172.65.247.5,4,4,0.00,150.53,0.00
