IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.16.74.45,4,4,0.00,175.71,20.10
104.16.168.88,4,4,0.00,171.15,19.79
104.22.0.54,4,4,0.00,176.02,19.15
104.17.84.241,4,4,0.00,176.13,19.10
104.17.141.206,4,4,0.00,176.15,18.97
104.17.136.31,4,4,0.00,174.86,18.83
104.17.138.93,4,4,0.00,173.38,18.80
104.21.209.35,4,4,0.00,174.08,18.55
104.17.76.85,4,4,0.00,173.30,18.19
104.16.164.248,4,4,0.00,175.42,18.12
173.245.49.155,4,4,0.00,173.87,17.94
104.16.18.89,4,4,0.00,175.31,17.91
104.16.114.210,4,4,0.00,175.80,15.07
162.159.194.249,4,4,0.00,167.07,15.02
104.18.25.154,4,4,0.00,175.03,13.70
104.18.38.65,4,4,0.00,169.99,11.31
104.17.74.195,4,4,0.00,174.45,10.72
104.17.62.130,4,4,0.00,173.59,8.32
104.17.146.125,4,4,0.00,175.76,3.00
1.1.1.149,4,4,0.00,174.25,0.00
